Reports,Reports
"Reset Statistics","Reset Statistics"
"Follow Up Email","Follow Up Email"
"Statistic successfully cleared.","Statistic successfully cleared."
"Error occurred during statistic reset: %1","Error occurred during statistic reset: %1"
"Open Rate","Open Rate"
"Click Rate","Click Rate"
"Order Rate","Order Rate"
"Review Rate","Review Rate"
"Cross Overview","Cross Overview"
"Campaign Overview","Campaign Overview"
