"Priority of a segment determines Customer Group assigned to customer in case customer belongs to multiple segments.","Priority of a segment determines Customer Group assigned to customer in case customer belongs to multiple segments."
"Refresh Mode","Refresh Mode"
"Refresh segment data automatically by cron or add customers only manually.","Refresh segment data automatically by cron or add customers only manually."
Automatic,Automatic
Manual,Manual
"Matched Customers","Matched Customers"
"Matched Guests","Matched Guests"
History,History
"Add New Segment","Add New Segment"
"Delete items","Delete items"
"Are you sure you want to delete selected segments?","Are you sure you want to delete selected segments?"
"Updated At","Updated At"
"Preview Customer Segment","Preview Customer Segment"
